,Skills
1264,Marklogic
1265,Master Data Management
1266,Merging Data
1267,Metadata Management
1268,Meter Data Management
1269,Migration Manager
1270,National Information Exchange Model
1271,Oracle Coherence
1272,OSIsoft
1273,Persistent Data Structure
1274,Public Folders
1275,Reltio (Master Data Management Software)
1276,Remote File Sharing
1277,Rochade
1278,Rsync
1279,SAP Information Steward
1280,SAP NetWeaver Data Management
1281,Signiant (File Transfer Software)
1282,SQL Server Master Data Services
1283,Static Data
1284,Stream Processing
1285,Syncsort
1286,Taxonomy
1287,Test Data Management
1288,Transaction Data
1289,Amazon Elastic Block Stores
1290,Amazon Redshift
1291,Amazon S3 Buckets
1292,Amazon S3 Glacier
1293,Archive File
1294,Azure Blob Storage
1295,Block Storage
1296,BrightStor Portal
1297,CD-ROMs
1298,Centralized Storage Systems
1299,Cloud Storage
1300,Clustered File Systems
1301,Computer Data Storage
1302,dashDB
1303,Data Archives
1304,Data Archiving Service
1305,Data Caching
1306,Data Direct Networks
1307,Data Lakes
1308,Data Room
1309,Data Storage Devices
1310,Data Storage Technologies
1311,Data Store
1312,Dell EMC UniSphere
1313,Dell PowerVault
1314,Dimensional Modeling
1315,Direct Access Storage Devices
1316,Direct-Attached Storage
1317,Disk Defragmentation
1318,Disk Storage
1319,Dynamic Random-Access Memory
1320,Ehcache
1321,Email Archiving
1322,EMC Clariion
1323,External Storage
1324,File Allocation Table (Software)
1325,File Systems
1326,Flash File Systems
1327,Flash Memory
1328,Flash Technology
1329,Fourth Extended Filesystem (Ext4)
1330,FreeNAS
1331,General Parallel File Systems
1332,Hard Disk Drives
1333,Hcatalog
1334,HFS Plus
1335,Hierarchical Storage Management
1336,HP 3Par
1337,IBM DFSMS
1338,IBM General Parallel File Systems
1339,IBM XIV Storage Systems
1340,Internal Storage
1341,Isilon (Network-Attached Storage System)
1342,JFS (File System)
1343,Linear Tape-Open
1344,Local Storage
1345,Logical Disk Management
1346,Logical Volume Manager
1347,Magnetic Storage
1348,Mass Storage
1349,Memcached
1350,Memory Architecture
1351,Memory Card
1352,Memory Organization
1353,NetApp Data Storage
1354,Network Attached Storage (Server Appliance)
1355,Network Storage
1356,Non-Volatile Memory
1357,NT File System (NTFS)
1358,Object Access Methods
1359,Object Storage
1360,Online Storage
1361,Open Format
1362,Optical Discs
1363,Persistent Memory
1364,Persistent Storage
1365,RAID
1366,Random-Access Memory
1367,Remote Storage
1368,Removable Media
1369,SD Cards
1370,Shared Memory
1371,Solaris Volume Manager
1372,Solid-State Drives
1373,Storage Architecture
1374,Storage Devices
1375,Storage Systems
1376,Symmetrix
1377,Synology
1378,Tape Libraries
1379,Temporary File
1380,Unix File Systems
1381,USB Flash Drives
1382,Veritas File Systems
1383,Veritas Storage Foundation
1384,Veritas Volume Manager
1385,Virtual Hard Disks (VHD)
1386,Virtual Storage Access Methods
1387,Virtual Tape Libraries
1388,Web Cache
1389,Web Storage
1390,WinZip
1391,XtraDB
1392,XtremIO (Network-Attached Storage System)
1393,Zettabyte File System (ZFS)
1394,Zip Drive
1395,Apache Ranger
1396,Atomicity Consistency Isolation Durability (ACID)
1397,Automatic Storage Management
1398,Change Data Capture (CDC)
1399,Data Access
1400,Data Build Tool
1401,Data Partitioning
1402,Data Strategy
1403,Data Vault Modeling
1404,Database Activity Monitoring
1405,Database Administration
1406,Database Architecture
1407,Database Cloning
1408,Database Cluster
1409,Database Connection
1410,Database Consistency
1411,Database Console Commands (DBCC)
1412,Database Consolidation
1413,Database Conversion
1414,Database Cursor
1415,Database Deployment Management
1416,Database Design
1417,Database Development
1418,Database Engine Tuning Advisor
1419,Database Life Cycle Management
1420,Database Management
1421,Database Mirroring
1422,Database Modeling
1423,Database Normalization
1424,Database Partitioning
1425,Database Performance Analyzer
1426,Database Permissions
1427,Database Programmer's Toolkits
1428,Database Testing
1429,Database Triggers
1430,Database Tuning
1431,Database Upgrades
1432,DBArtisan
1433,DbFit
1434,DbVisualizer
1435,Denormalization
1436,Dynamic Management Views
1437,Embarcadero Software
1438,Expdp
1439,Foglight (Database Software)
1440,Galera
1441,Hdinsight
1442,Impdp
1443,InnoDB
1444,Litespeed
1445,Logical Data Models
1446,Merge Replication
1447,MS-DTSX
1448,MySQL Workbench
1449,NameNode
1450,Object-Role Modeling
1451,Oracle Advanced Security
1452,Oracle Applications DBA
1453,Oracle Audit Vault
1454,Oracle Data Guard
1455,Oracle Database Administration (DBA)
1456,Oracle Database Appliance
1457,Oracle Database Vault
1458,Oracle Engineered Systems
1459,Oracle Enterprise Manager
1460,Oracle Exadata
1461,Oracle GoldenGate
1462,Oracle Rac
1463,Oracle Streams
1464,Oracle Text
1465,Oracle Toad
1466,Peoplesoft Administration
1467,Peoplesoft Internet Architecture
1468,Pgbouncer
1469,PHPMyAdmin
1470,Physical Schema
1471,Query Analyzer
1472,Query Optimization
1473,Query Performance
1474,Query Planning
1475,Query Tuning
1476,Redo Log
1477,Referential Integrity
1478,Relational Database Design
1479,SharePlex
1480,SQL And Java (SQLJ)
1481,SQL Server Agent
1482,SQL Server Integration Services (SSIS)
1483,SQL Server Management Studio
1484,SQL Server Reporting Services
1485,SQL Services
1486,SQL Tuning
1487,Ssrs 2012
1488,Statspack
1489,Third Normal Form
1490,TKProf
1491,Transactional Replication
1492,Active Record Pattern
1493,ADABAS
1494,Adhoc Queries
1495,Advantage Database Servers
1496,Aerospike
1497,Aggregation Framework
1498,AllegroGraph
1499,Amazon Athena
1500,Amazon Aurora
1501,Amazon DocumentDB
1502,Amazon DynamoDB
1503,Amazon Neptune
1504,Amazon Relational Database Services
1505,Amazon SimpleDB
1506,Apache Avro
1507,Apache Cassandra
1508,Apache Drill
1509,Apache Druid
1510,Apache HBase
1511,Apache Ignite
1512,Apache Impala
1513,Apache Kafka
1514,Apache Parquet
1515,Apache Phoenix
1516,Apache Torque
1517,ArangoDB
1518,Azure Cosmos DB
1519,Basis Database
1520,Berkeley DB
1521,Btrieve/Pervasive Software
1522,Candidate Key
1523,ClickHouse DBMS
1524,Cloud Firestore
1525,Cloudant
1526,Cloudera Impala
1527,Content Repository
1528,Couchbase Servers
1529,CouchDB
1530,Database Application
1531,Database Engines
1532,Database Indexes
1533,Database Management Systems
1534,Database Queries
1535,Database Query Tools
1536,Database Schema
1537,Database Software
1538,Database Storage Structures
1539,Database Systems
1540,Database Transactions
1541,Datacom/DB
1542,Dataframe
1543,Datapump
1544,Datastax
1545,DataStax Enterprise
1546,DB2/400
1547,DBase
1548,Distributed Database
1549,Document-Oriented Databases
1550,Dynamic Queries
1551,Embedded Databases
1552,Enscribe
1553,EnterpriseDB
1554,Epic Clarity
1555,External Tables
1556,Federated Database Systems
1557,Firebird Database
1558,Flat File Database
1559,Foreign Keys
1560,FoxPro
1561,Graph Database
1562,GraphDB
1563,Hierarchical Database Model
1564,Hyper SQL Database (HSQLDB)
1565,IBM Informix
1566,IBM Spufi
1567,IBM SQL/DS
1568,IndexedDB
1569,InfluxDB
1570,Ingres Database
1571,In-Memory Database
1572,Integrated Maintenance Data System
1573,Intersystems Cache
1574,JanusGraph
1575,Linked Tables
1576,Logical Databases
1577,MariaDB
1578,Materialized View
1579,MaxDB
1580,Memsql
1581,Metadata Repository
1582,Microsoft SQL Server Data Engine (MSDE)
1583,Microsoft SQL Servers
1584,Mini SQL (MSQL)
1585,MongoDB
1586,MyISAM
1587,MySQL
1588,Mysql5
1589,Neo4j
1590,Non-Relational Data Stores
1591,NonStop SQL
1592,NoSQL
1593,Object-Relational Database
1594,Online Databases
1595,OpenTSDB
1596,Operational Databases
1597,Operational Historian
1598,Oracle Databases
1599,Oracle10g
1600,Oracle12c
1601,OrientDB
1602,Pervasive PSQL
1603,Pgpool
1604,PostgreSQL
1605,PrestoDB
1606,Primary Keys
1607,Program Database
1608,Progress Db
1609,Query Hints
1610,RavenDB
1611,Redis
1612,Relational Database Management Systems
1613,Relational Databases
1614,Relational Model
1615,RethinkDB
1616,Riak
1617,Rocket U2
1618,RocksDB
1619,SAP HANA
1620,SAP Sybase Adaptive Server Enterprise
1621,SAP Sybase SQL Anywhere
1622,SQL Anywhere
1623,SQL Azure
1624,Sql Optimization
1625,SQL Server Compact
1626,SQL Server Express
1627,SQL*Plus
1628,SQLAlchemy
1629,SQLDB
1630,SQLite
1631,Surrogate Key
1632,Sybase (Software)
1633,Tablespace
1634,Technical Data Management Systems
1635,Temp Tables
1636,Tempdb
1637,Teradata SQL
1638,Text Database
1639,Translation Memory
1640,Unisys DMSII
1641,Universal Database (UDB)
1642,Very Large Databases (VLDB)
1643,Web SQL Databases
1644,XML Databases
1645,Alluxio
1646,Apache Mesos
1647,Azure Load Balancer
1648,Client Server Models
1649,Concurrent Computing
1650,Concurrent Object Modeling And Architectureal Design Method
1651,Data Grid
1652,DFSR
1653,Distributed Cache
1654,Distributed Component Object Model
1655,Distributed Computing
1656,Distributed Data Store
1657,Distributed Design Patterns
1658,Distributed File Systems
1659,Distributed Memory
1660,Distributed Object
1661,Distributed Programming
1662,Distributed Resource Scheduler
1663,Distributed Transaction
1664,Edge Computing
1665,Elastic Load Balancer
1666,F5 Load Balancers
1667,Global File System
1668,Global Server Load Balancing
1669,Grid Computing
1670,gRPC
1671,Hadoop Distributed File System (HDFS)
1672,IBM Parallel Sysplex
1673,Load Balancing
1674,Network File Systems
1675,Network Load Balancing
1676,OneFS Distributed File Systems
1677,Parallel Computing
1678,Parallel Processing
1679,Peer-To-Peer
1680,Remote Procedure Call
1681,TIBCO Hawk
1682,XML-RPC
1683,Apache Servicemix
1684,Application Integration Architecture
1685,Application Portfolio Management
1686,ATG Dynamo
1687,Azure Service Bus
1688,Cross-Functional Integration
1689,Custom Web Parts
1690,Enterprise Application Integration
1691,Enterprise Application Software
1692,Enterprise Architecture
1693,Enterprise Architecture Framework
1694,Enterprise Integration
1695,Enterprise Service Bus
1696,Federal Enterprise Architecture
1697,Fuse ESB
1698,IBM Websphere Application Server
1699,IBM Websphere ESB
1700,IBM Websphere Integration Developer
1701,IBM WebSphere Message Broker
1702,IBM WebSphere Portal
1703,IBM WebSphere Portlet Factory
1704,IBM WebSphere Process Server
1705,Integrated Architecture Framework
1706,Java Caps
1707,JBoss EAP
1708,JBoss Fuse
1709,Liferay
1710,Microsoft Office SharePoint Server
1711,Microsoft Sharepoint Migrations
1712,Mule (Software)
1713,MuleSoft
1714,MuleSoft Anypoint
1715,Oracle BPEL Process Management
1716,Oracle Service Bus
1717,Peoplesoft People Tools
1718,Peoplesoft Upgrade
1719,Portal Servers
1720,Product Software Implementation Method
1721,SAP Mobile Platform
1722,SAP NetWeaver
1723,SAP Process Integration
1724,Segment Architecture
1725,ShareGate
1726,Siebel EIM
1727,Spring Integration
1728,Suitetalk
1729,TIBCO Adapters
1730,TIBCO Administration
1731,TIBCO Businessworks
1732,TIBCO Rendezvous
1733,Togaf
1734,Troux (Enterprise Architecture Software)
1735,WebMethods
1736,WebMethods Flow
1737,WebMethods Integration Server
1738,Zachman Framework
1739,Alation Data Catalog
1740,Alfresco ECM
1741,Apache Solr
1742,Apex Data Loader
1743,Corporate Data Management
1744,Customer Data Integration
1745,Electronic Data Interchange
1746,Enterprise Content Management
1747,Enterprise Information Management
1748,Enterprise Portal
1749,Enterprise Search
1750,Enterprise Services Repository
1751,Enterprise Storage System
1752,IBM - Tivoli Change And Configuration Management Database
1753,IBM Information Management System
1754,Information Governance
1755,Knowledge Management
1756,Knowledge Management Software
1757,Laserfiche (Content Management Platform)
1758,Mirth Connect
1759,Oracle B2B
1760,Prism
1761,Solrcloud
1762,United Nations/Electronic Data Interchange For Administration Commerce And Transport (UN/EDIFACT)
1763,Application Xml
1764,Business Process Execution Language
1765,Business Process Modeling Language
1766,Call Control Extensible Markup Languages
1767,Commerce EXtensible Markup Language (CXML)
1768,Document Structure Description
1769,Document Type Definition
1770,Domino XML Language
1771,Extensible Application Markup Language
1772,Extensible HyperText Markup Language (XHTML)
1773,Extensible Markup Language (XML)
1774,Extensible Stylesheet Language (XSL)
1775,Extensible Stylesheet Language Transformations (XSLT)
1776,FpML
1777,Macromedia Flex Markup Language (MXML)
1778,OmniMark
1779,Schematron
1780,Security Assertion Markup Language (SAML)
1781,Service Provisioning Markup Language
1782,Standard Generalized Markup Language
1783,Translation Memory EXchange (XML Spec)
1784,Vector Markup Language
1785,Web.xml
1786,XacML
1787,XBRL (Extensible Business Reporting Language)
1788,XCal (XML-Based Standards)
1789,XCBL
1790,Xerces
1791,Xforms
1792,XMetaL
1793,XML Concepts
1794,XML Data Binding
1795,Xml Documentation
1796,Xml Dtd
1797,XML Editor
1798,XML For Analysis
1799,Xml Generation
1800,XML Interface For Network Services
1801,XML Markup Languages
1802,XML Metadata Interchange
1803,XML Representations Of Lexicons
1804,XML Schema
1805,XML Script
1806,XML Transformation Languages (XML-Based Standards)
1807,XML Validation
1808,XMLBeans
1809,XPath
1810,XQuery
1811,XUL (XML User Interface Language)
1812,Alooma
1813,AWS Glue
1814,Azure Data Factory
1815,CloverETL
1816,Data Capture
1817,Data Conversion
1818,Data Import/Export
1819,Data Integration
1820,Data Transformation
1821,Data Transformation Services
1822,Dataweave
1823,Extract Transform Load (ETL)
1824,IBM InfoSphere (ETL Tools)
1825,IBM InfoSphere DataStage
1826,Informatica
1827,Informatica Powercenter
1828,Logstash
1829,Mload
1830,Oracle Data Service Integrator
1831,Oracle Warehouse Builder
1832,Pentaho Data Integration
1833,Slowly Changing Dimensions
1834,SQL*Loader
1835,Sqoop
1836,StreamSets
1837,Teradata Parallel Transporter
1838,BIOS
1839,Boot Loaders
1840,Booting (BIOS)
1841,Das U-Boot
1842,Device Firmware Upgrades
1843,Embedded Firmware
1844,Firmware
1845,Firmware Updates
1846,Motor Control Firmware
1847,Unified Extensible Firmware Interface
1848,Access Network
1849,Addressing Schemes
1850,Anycast
1851,Application Delivery Controller
1852,Application Layers
1853,Automatically Switched Optical Network
1854,Avionics Full-Duplex Switched Ethernet
1855,Backbone Network
1856,Bandwidth Management
1857,Beowulf Cluster
1858,Channel Bonding
1859,Cisco Networking
1860,Classless Inter-Domain Routing
1861,Complex Networks
1862,Computer Network Operations
1863,Computer Networks
1864,Data Link
1865,Differentiated Services
1866,Differentiated Services Code Point
1867,Digital Network Architecture
1868,Digital Network Control System
1869,Domain Name Registrar
1870,Domain Name System
1871,Domain Registration
1872,Dynamic DNS (Domain Name System)
1873,Dynamic Ip
1874,Element Management Systems
1875,Encapsulation (Networking)
1876,End Systems
1877,EtherChannel
1878,Ethernet
1879,Ethernet Local Area Network
1880,Ethernet Physical Layer
1881,Ethernet Private Lines
1882,Extranet
1883,Failover Clustering
1884,Fast Ethernet
1885,Fat Client
1886,Fiber Distributed Data Interface
1887,Fibre Channel Over Ethernet
1888,Forwarding Plane
1889,Frame Relay
1890,Host Systems
1891,Hot Spots
1892,IBM Systems Network Architecture
1893,IBM VNET
1894,InfiniBand
1895,Integrated Services
1896,Intelligent Networks
1897,Internet Service Provider
1898,Internet Standard
1899,Internet Transit
1900,Internetworking
1901,Intranet
1902,Intranet Portal
1903,IP Address Management
1904,IP Addressing
1905,IP Multicasting
1906,IP Routing
1907,IPv4 Subnetting Reference
1908,Juniper Network Technologies
1909,LAN Switching
1910,Liferay 6
1911,Link Aggregation (Ethernet)
1912,Link Layer
1913,Local Area Networks
1914,Low Latency
1915,MAC Address
1916,Mesh Networking
1917,Metro Ethernet
1918,Metropolitan Area Networks
1919,Microsoft DNS
1920,Microsoft Networking
1921,Mobile Edge Computing (MEC)
1922,Multicasting
1923,Multihoming
1924,Network Address
1925,Network Address Translation
1926,Network Analysis
1927,Network Appliances
1928,Network Architecture
1929,Network Bridging
1930,Network Communications
1931,Network Congestion
1932,Network Control
1933,Network Diagrams
1934,Network Discovery
1935,Network Element
1936,Network Engineering
1937,Network Information Systems
1938,Network Infrastructure
1939,Network Interface
1940,Network Layer
1941,Network Management System
1942,Network Mapping
1943,Network Model
1944,Network Monitoring
1945,Network Packet
1946,Network Performance Management
1947,Network Planning And Design
1948,Network Provisioning
1949,Network Resource Management
1950,Network Routing
1951,Network Segmentation
1952,Network Service
1953,Network Sockets
1954,Network Testing
1955,Network Topology
1956,Network Traffic Management
1957,Network Troubleshooting
1958,Network Utilities
1959,Networking Basics
1960,Next-Generation Networks
1961,Nodes (Networking)
1962,OSI Models
1963,Peering (Computer Networking)
1964,Personal Area Networks
1965,Physical Layers
1966,Physical Topology
1967,Port Forwarding
1968,Port Mirroring
1969,Presentation Layer
1970,Private Networks
1971,Private VLAN
1972,Remote Direct Memory Access
1973,Reverse Proxy
1974,Routing Table
1975,Service Access Point
1976,Service Discovery
1977,Small Office/Home Office Network
1978,Socket Programming
1979,Software Defined Networking (SDN)
1980,Source Routing
1981,SSL Acceleration
1982,Storage Area Network (SAN)
1983,Subnetwork
1984,Supernetwork
1985,Switch Virtual Interface
1986,Switched Communication Networks
1987,Switched Fabric
1988,Technical Control Facility
1989,Time To Live
1990,Token Ring
1991,Traceroute
1992,Traffic Shaping
1993,Transport Layer
1994,Transport Networks
1995,Trunking
1996,Unicast
1997,Variable-Length Subnet Masking (VLSM)
1998,Virtual Device
1999,Virtual IP Address
2000,Virtual Local Area Network (VLAN)
2001,ViXS Systems
2002,WAN Optimization
2003,Wide Area Networks
2004,Wifi Direct
2005,Wireless Ad Hoc Networks
2006,Wireless LAN
2007,Wireless Mesh Networks
2008,Wireless Networks
2009,Wireless Planning
2010,Wireless WAN
2011,Wiring Closet
2012,WPAN
2013,Arc Digitized Raster Graphic
2014,ArcEditor
2015,ArcGIS (GIS Software)
2016,ArcGIS Engine
2017,ArcGIS Mapping
2018,ArcGIS Servers
2019,ArcGIS StoryMaps
2020,ArcGIS Survey123
2021,ArcIMS
2022,ArcInfo
2023,ArcMap
2024,ArcObjects
2025,Arcpy
2026,ArcSDE
2027,ArcView (Software)
2028,CartoDB
2029,Catalog Service For The Web
2030,CommunityViz
2031,Computer Mapping
2032,Controlled Image Base
2033,Device Tracking Software
2034,Digital Mapping
2035,Digital Point Positioning Data Base
2036,Digital Terrain Elevation Data (DTED)
2037,ECognition
2038,Erdas Imagine
2039,Feature Manipulation Engines
2040,Federal Geographic Data Committee (FGDC) Standards
2041,Geocoding
2042,Geographic Information Systems
2043,Geoinformatics
2044,Geojson
2045,GeoMedia
2046,Geometric Networks
2047,Geonames
2048,Geoprocessing
2049,Georeference
2050,Geospatial Analysis
2051,Geospatial Data Abstraction Library (GDAL)
2052,Geospatial Databases
2053,Geospatial Datasets
2054,Geospatial Engineering
2055,Geospatial Information Technology (GIT)
2056,Geospatial Intelligence
2057,Geospatial Mapping
2058,GIS Applications
2059,GIS Mapping
2060,Global Mapper
2061,Global Positioning Systems
2062,Google Earth
2063,GPS Data
2064,GPS Navigation Devices
2065,GPS Navigation Software
2066,Keyhole Markup Language
2067,Location Intelligence
2068,Location-Based Services
2069,Mapbox
2070,MapInfo Professional
2071,Mapkit
2072,Mapping Software
2073,Mapserver
2074,Microsoft MapPoint
2075,MrSID
2076,OpenStreetMap
2077,Oracle Spatial
2078,Orthophoto
2079,Pathfinder
2080,Personal Navigation Assistant
2081,Pictometry
2082,PostGIS
2083,Quantum GIS (QGIS)
2084,RemoteView
2085,Satellite Imagery
2086,Satellite Tracking
2087,Shapefile
2088,Shuttle Radar Topography Mission
2089,SOCET SET
2090,Spatial Analysis
2091,Spatial Data Infrastructures
2092,Spatial Databases
2093,Vector Data
2094,Viewshed Analysis
2095,Web Map Service
2096,Web Mapping
2097,1Password
2098,Access Control List
2099,Access Control Matrix
2100,Access Method
2101,Access Rules
2102,Amazon Cognito
2103,Auth0
2104,Authentication Servers
2105,Authentications
2106,Authorization (Computing)
2107,Authorization Certificates
2108,AWS Identity And Access Management (IAM)
2109,Azure Active Directory
2110,Azure MFA
2111,Basic Access Authentication
2112,CA Identity Manager
2113,Credential Manager
2114,Credential Providers
2115,CyberArk
2116,Federated Identity Management
2117,Forgerock
2118,Freeipa
2119,IBM Resource Access Control Facility
2120,IBM Tivoli Directory Servers
2121,Identity And Access Management
2122,Identity Management Systems
2123,Identity Verification
2124,IdentityIQ
2125,Information Access
2126,Integrated Windows Authentication
2127,Janrain
2128,Logical Unit Number Masking
2129,Microsoft Forefront Identity Manager
2130,Microsoft Identity Integration Servers
2131,Multi-Factor Authentication
2132,NetIQ
2133,NetIQ Access Manager
2134,NetIQ EDirectory
2135,NetIQ Identity Manager
2136,Network Access Control
2137,NT LAN Manager
2138,OAuth
2139,Okta
2140,OpenDJ
2141,OpenID
2142,Oracle Access Manager
2143,Oracle Identity Analytics
2144,Oracle Identity Manager
2145,Password Management
2146,Password Policy
2147,Password Safe
2148,Password Synchronization
2149,Pingfederate
2150,Privileged User Management
2151,Remote Authentication
2152,Role-Based Access Control (RBAC)
2153,RSA SecurID
2154,Secure Password Authentication
2155,Share Permissions
2156,Single Sign-On (SSO)
2157,Siteminder
2158,Smart Cards
2159,Terminal Access Controller Access-Control System (TACACS)
2160,Tivoli Identity Manager
2161,User Directory
2162,User Identification
2163,User Information
2164,User Provisioning
2165,Web Access Control
2166,Web Access Management
2167,Windows Identity Foundation
2168,Adobe Flash Builder
2169,Apple Xcode
2170,Aqua Data Studio
2171,Business Intelligence Development Studio
2172,Cloud9 (Software)
2173,Code Composer Studio
2174,Delphi (Programming Language)
2175,Eclipse (Software)
2176,Force.Com
2177,IBM Data Studio
2178,IBM Rational Application Developer
2179,IBM VisualAge
2180,IDA Pro
2181,Integrated Development Environments
2182,IntelliJ IDEA
2183,JBuilder
2184,JDeveloper
2185,JetBrains IDE
2186,LANSA
2187,MavensMate IDE
2188,Microsoft Platform Builder
2189,MPLAB IDE
2190,MyEclipse
2191,NetBeans
2192,Oracle JDeveloper
2193,Oracle SQL Developer
2194,PhpStorm
2195,PowerBuilder
2196,QT Creator
2197,Web Ide
2198,WebStorm
2199,Amazon Alexa
2200,AWS Internet Of Things (IoT)
2201,Azure Internet Of Things (IoT)
2202,Connected Devices
2203,Google Home
2204,Industrial Internet Of Things (IIoT)
2205,Internet Of Things (IoT)
2206,Machine-To-Machine (M2M)
2207,Predix
2208,Smart Device
2209,Smart Glasses
2210,Smart Lighting
2211,Smart Systems
2212,Smart Tv
2213,Smartthings
2214,Voice Command Devices
2215,Watson IoT
2216,Wearables
2217,Alamofire
2218,App Store (IOS)
2219,Apple CarPlay
2220,Apple HealthKit
2221,Apple IOS
2222,Apple Push Notification Service
2223,Apple Watch
2224,Applepay
2225,Cloudkit
2226,Cocoa Touch
2227,CocoaPods
2228,Core Data (Software)
2229,Core Location Manager (Apple IOS)
2230,Core Text
2231,Interface Builder
2232,IOS Applications
2233,IOS Development
2234,IOS SDK
2235,IPod Touch
2236,Size Classes
2237,Testflight
2238,Uikit
2239,Watchkit
2240,watchOS
2241,WKWebView
2242,Ansible
2243,Ansible Playbook
2244,Ansible Tower
2245,AnthillPro
2246,Apache Ant
2247,Apache Maven
2248,Apple Automator (OS X)
2249,Application Release Automation
2250,Appveyor
2251,Atlassian Bamboo
2252,Auto Build
2253,Autodeploy
2254,Automake
2255,Automation Anywhere (RPA Software)
2256,Batch Message Processing
2257,Batch Processing
2258,Bazel
2259,BladeLogic
2260,BluePrism (RPA Software)
2261,Build Automation
2262,Build Tools
2263,Buildbot
2264,CA Workload Automation Ae
2265,Camunda
2266,ChatOps
2267,Cloud Automation
2268,CMake
2269,Control-M (Batch Scheduling Software)
2270,CruiseControl
2271,Delivery Pipelines
2272,Drawloop (Software)
2273,Electricflow
2274,GNU Build Systems
2275,Gnu Make
2276,Google Kubernetes Engine (GKE)
2277,Gradle
2278,Ifttt
2279,Infrastructure Automation
2280,Jenkins
2281,Job/Batch Scheduling
2282,Kubernetes
2283,Make (Software)
2284,Microsoft Power Automate/Flow
2285,MSBuild
2286,Network Automation
2287,Octopus Deploy
2288,Oracle Workflow
2289,Package Management Systems
2290,Pega Robotics Software
2291,Quickbuild
2292,Rancher (Software)
2293,Robotic Automation Software
2294,Robotic Process Automation
2295,Rundeck
2296,Salt Stack
2297,SAP Business Workflow
2298,SCons
2299,Server Automation
2300,Slurm (Batch Scheduling Software)
2301,Suitescript
2302,Teamcity
2303,Travis Ci
2304,UiPath (RPA Software)
2305,WinAutomation
2306,Winshuttle (RPA Software)
2307,WorkFusion
2308,XLDeploy
2309,Automated Information System (AIS)
2310,Automated Logic WebCTRL
2311,Automated Message Handling Systems
2312,Automatic Control
2313,Automatic Identification And Data Capture
2314,Automatic Information Technology
2315,Automatic Test Equipment
2316,Automation Controls
2317,Automation Protocols
2318,Autonomous System
2319,Airwatch
2320,Apple Device Enrollment Program (DEP)
2321,Architectural Leadership
2322,Availability Management
2323,Availability Monitoring
2324,Azure Cost Management
2325,Build Management
2326,Capacity Management
2327,Cyber Security Management
2328,Dependency Management
2329,Desktop Management
2330,Device Management
2331,Digital Rights Management
2332,Digital Transformation
2333,Email Migration
2334,Environment Management
2335,Fault Management
2336,Hardware Asset Management
2337,HP Service Manager Software
2338,Hybrid Integration
2339,IBM Tivoli Management Framework
2340,Incident Management
2341,Incident Response Management
2342,Information Security Management
2343,Information Security Management Systems
2344,Information Technology Controls
2345,Information Technology Infrastructure Library
2346,Information Technology Management
2347,Information Technology Operations
2348,Information Technology Outsourcing
2349,Information Technology Planning
2350,Infrastructure as Code (IaC)
2351,Infrastructure Management
2352,Infrastructure Management Services
2353,ISO/IEC 20000
2354,IT Asset Disposition (ITAD)
2355,IT Asset Management
2356,IT General Controls (ITGC)
2357,IT Portfolio Management
2358,IT Service Management
2359,ITIL Security Management
2360,Itilv3
2361,Jamf
2362,JFrog
2363,ManageEngine AssetExplorer
2364,Management Information Systems
2365,Microsoft Intune (Mobile Device Management Software)
2366,Microsoft Mobile Device Management
2367,Microsoft Operations Framework
2368,Mobile Device Management
2369,Mobileiron
2370,OpenManage
2371,Operations Architecture
2372,Problem Management
2373,Release Management
2374,Remote Infrastructure Management
2375,Service Control Management
2376,Service Delivery Framework
2377,Service Integration And Management
2378,Service Provisioning
2379,Service Tier
2380,ServiceNow
2381,Snow (Software)
2382,Software Asset Management
2383,Software Estimation
2384,Software Licensing Audit
2385,Storage Management
2386,Symantec Altiris
2387,System Migration
2388,Technical Management
2389,Technological Transitions
2390,Technology Assessment
2391,Technology Life Cycle
2392,Technology Roadmaps
2393,Technology Scouting
2394,Technology Strategies
2395,Informatics
2396,Information Sciences
2397,Information Technology Audits
2398,Information Technology Consulting
2399,Information Technology Security Auditing
2400,SAP Governance Risk And Compliance Analytics Software
2401,SAP Treasury And Risk Management
2402,Enterprise Risk Management (ERM)
2403,IT Risk Management
2404,Data Policy Development
2405,Data Privacy Laws
2406,Data Steward
2407,Information Policy
2408,Adobe JRun
2409,Ajax (Programming Language)
2410,Apache Myfaces
2411,Apache Openjpa
2412,AspectJ
2413,Direct Web Remoting (Java)
2414,Dropwizard
2415,Easy Java Simulations
2416,Ebean
2417,EclipseLink
2418,Enterprise JavaBeans
2419,Event Listeners (Java)
2420,Generics In Java
2421,Google Gson (Java Library)
2422,Google Guice
2423,Hibernate (Java)
2424,JaCoCo
2425,Java (Programming Language)
2426,Java 11
2427,Java 7
2428,Java 8
2429,Java 9
2430,Java Annotation
2431,Java Applet
2432,Java Application Server
2433,Java Architecture For XML Binding
2434,Java Architectures
2435,Java Authentication And Authorization Services
2436,Java Batch
2437,Java Business Process Management
2438,Java Code Coverage Tools
2439,Java Collections Framework
2440,Java Concurrency
2441,Java Cryptography Extension
2442,Java Data Objects
2443,Java Database Connectivity
2444,Java Development Kit
2445,Java Development Tools
2446,Java EE Application
2447,Java EE Connector Architecture
2448,Java Enterprise Edition
2449,Java Management Extensions
2450,Java Media Framework
2451,Java Naming And Directory Interface
2452,Java Native Interface
